nb,nu,nd,ns,ne,nm,μu,μd,μe,P,e
0.0032110566599999994,0.0032110485876543694,0.0034183708719730866,0.0030037211492643504,1.0164943114630839e-8,0.0,0.31646392772443127,0.3231654785787843,0.006701550854353019,0.0007453619844713257,0.002346217573332836
0.0032683969575,0.0032683894287413215,0.0034769391059386507,0.003059832774074529,9.993906143209427e-9,0.0,0.31833648668083386,0.32500023760146757,0.006663750920633728,0.0007633164366908149,0.002401583651907252
0.003325737255,0.003325731134966336,0.0035354927641259365,0.0031159584524045707,9.828404650901484e-9,0.0,0.3201872983968829,0.32681405993549334,0.006626761538610419,0.0007813789212477632,0.0024572657877192125
0.0033830775524999997,0.003383071956647878,0.003594032930381769,0.0031720984207776084,9.668503083380362e-9,0.0,0.3220169286120449,0.3286075558171152,0.006590627205070285,0.0007995481335922869,0.002513260256524542
0.00344041785,0.003440412940078932,0.003652564077713912,0.0032282562056025078,9.514319673939658e-9,0.0,0.3238260053449511,0.33038141112629493,0.006555405781343852,0.0008178238126728958,0.002569566543728681
0.0034977581474999997,0.003497751395067042,0.003711077911435352,0.00328442311596691,9.364818745476828e-9,0.0,0.32561501291309386,0.3321359016796547,0.006520888766560836,0.0008362026883987622,0.002626174779776927
0.0035550984449999995,0.003555091976606002,0.0037695791011992164,0.0033406029305837887,9.219716546541522e-9,0.0,0.3273846400080714,0.33387167424102265,0.0064870342329512555,0.0008546850000739222,0.002683085945801262
0.0036124387425,0.003612430422831174,0.0038280673271280435,0.0033967946709747123,9.079278578642418e-9,0.0,0.3291352750784319,0.3355892030462626,0.006453927967830715,0.0008732690222172401,0.0027402949973625366
0.0036697790399999996,0.0036697708374149557,0.003886543827285082,0.0034529988836373223,8.942883927265336e-9,0.0,0.3308675415977329,0.33728898803978197,0.0064214464420490665,0.0008919543025492174,0.0027978007437213484
0.0037271193374999994,0.0037271108426665403,0.003945008701952666,0.0035092150490029345,8.810621727467193e-9,0.0,0.3325818444361783,0.3389714765176236,0.006389632081445332,0.0009107394728139806,0.0028555992131089262
0.0037844596349999996,0.0037844513040854364,0.004003460089072287,0.0035654407843824618,8.681952736977747e-9,0.0,0.3342786674199005,0.34063704243845105,0.006358375018550594,0.0009296231287311823,0.0029136862733605477
0.0038417999324999994,0.0038417908461060774,0.004061901791660487,0.003621679180236069,8.55728763224839e-9,0.0,0.33595840960371876,0.34228620424978345,0.006327794646064711,0.0009486048583926905,0.0029720609043603257
0.0038991402299999992,0.0038991316977697384,0.004120335592332028,0.0036779314094208234,8.436360344515566e-9,0.0,0.33762155826509427,0.3439194043210289,0.006297846055934616,0.000967684258249929,0.0030307220565419886
0.0039564805274999995,0.00395647064751725,0.004178753268479297,0.003734189031134381,8.318444563490147e-9,0.0,0.33926842616970265,0.34553679259251885,0.006268366422816219,0.0009868581661087838,0.003089660157982257
0.004013820824999999,0.004013810741482578,0.004237163018097164,0.0037904594348893783,8.203934801011745e-9,0.0,0.34089949119022245,0.34713896165755065,0.0062394704673282095,0.0010061277102003546,0.0031488789034017028
0.004071161122499999,0.004071153365394488,0.004295567349738033,0.003846744556371088,8.092776587406498e-9,0.0,0.34251516652561464,0.34872632843629975,0.006211161910685091,0.0010254926427725136,0.0032083777163930453
0.00412850142,0.004128492769484077,0.004353952611928528,0.0039030307705922433,7.984007569623646e-9,0.0,0.34411565170127645,0.350298861464646,0.006183209763369556,0.0010449483562804845,0.003268142551030858
0.0041858417174999996,0.0041858334992205,0.004412337606114667,0.003959335753663687,7.878954308512965e-9,0.0,0.3457014222761176,0.35185739273874783,0.006155970462630231,0.0010644985994502333,0.0033281852043759662
0.004243182014999999,0.004243172891448263,0.004470704358768618,0.004015641739555919,7.775912029951106e-9,0.0,0.3472727398726769,0.3534017562185979,0.006129016345920929,0.0010841381773302363,0.0033884897611218996
0.0043005223125,0.004300514209052017,0.004529065281715845,0.004071960281657041,7.67568095280542e-9,0.0,0.3488300169406109,0.35493258509278003,0.006102568152169118,0.0011038693467315132,0.0034490633821638284
0.00435786261,0.004357853325320916,0.0045874177809671225,0.004128288475734108,7.578293925962431e-9,0.0,0.35037345330519754,0.3564501022662859,0.006076648961088358,0.001123690194059372,0.00350990035710555
0.0044152029075,0.0044151937896075915,0.004645761148846078,0.004184625249936011,7.483203239615465e-9,0.0,0.3519034457249079,0.3579545715030156,0.006051125778107664,0.0011436001329878309,0.003570998999982198
